WWF,UNIPA,n,NAs
demographicid,demographicid,0,0
household,household,9041,0
demographiccode,demographiccode,10034,0
individualname,individualname,0,0
relationhhh,relationhhh,1688,0
individualage,individualage,4,0
individualgender,individualgender,3,0
individualeducation,individualeducation,26,0
individualedlevel,individualedlevel,5883,3293
individualenrolled,individualenrolled,18,0
householdhead,householdhead,0,0
individualunwell,individualunwell,58,1
individualdaysunwell,individualdaysunwell,73,0
individuallostdays,individuallostdays,62,1
index,index,10040,0